개체번호,개체명,소유주,디자이너,분류,개체분류,개체설명,"비고(원본 특이사항, 검수참고용)"
015,차가운 정수 워터파컷,이얼 님 @yeee_ar,,cold,,<볼 물주머니가 이마에 있는 특별 개체> 차가운 정수를 맛 보여 주기위해 탄생한 워터파컷입니다. 냉정하고 차가운 성격을 가졌습니다.,<디자인권 사용>
016,블루레몬에이드 워터파컷,넴 님 @nem__0227,,cold,,<cold에 반대되는 성격을 가진 특수 개체> 블루레몬에이드를 맛 보여 주기위해 탄생한 워터파컷입니다. 활기차고 엉뚱한 성격을 가졌습니다.,<디자인권 사용>
017,벚꽃라떼 워터파컷,슈월 님 @shoewol,,cold,,<볼의 물주머니가 없는 특별 개체> 벚꽃라떼를 맛 보여 주기위해 탄생한 워터파컷입니다. 차분하고 소심한 성격을 가졌습니다.,<디자인권 사용>
018,바닷물 워터파컷,백장 님 @cheddar_UU,,cold,,바닷물을 맛 보여 주기위해 탄생한 워터파컷입니다. 소심한 성격을 가졌습니다.,<디자인권 사용>
019,나쵸치즈 소스 워터파컷,가슴야호 님 @YAHOna101,,hot,,나쵸치즈 소스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 활동적이고 밝은 성격을 가졌습니다.,
020,헤이즐넛 라떼 워터파컷,메멜 님 @mamell_ron,,hot,,헤이즐넛 라떼를 맛 보여 주기 위해 탄생한 워터파컷입니다. 상냥하고 너그러운 성격을 가졌습니다.,
021,블루 라군 워터파컷,리리몬 님 @LiLimon_art,,Cold,,"블루 라군을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차갑고 냉철하며 얼어붙을 것 같은 냉막한 성격에 냉정하고 융통성이 없으며 철저하고 꼼꼼한, 완벽주의적인 성격을 가졌습니다.",<디자인권 사용>
022,믹스커피 워터파컷,늄뉴비 님 @Newbie_SiA,,hot,,믹스커피를 맛 보여 주기 위해 탄생한 워터파컷입니다. 나른하고 느긋한 성격을 가졌습니다.,
023,레드와인 워터파컷,그림쟁이J 님 @Grimmler_J_8900,,Cold,,레드와인을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차갑고 무뚝뚝한 성격을 가졌습니다.,<디자인권 사용>
024,진지한 사랑의 화이트 초코우유 워터파컷,투서리 님 @two_seol,,cold,,<꼬리의 물 주머니가 큰 특별 개체> 진지한 사랑의 화이트 초코우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 진지하고 신중한 성격을 가졌습니다.,
025,장난스런 사랑의 블랙 초코우유 워터파컷,강무 님 @_rkdan_,,hot,,<꼬리의 물 주머니가 큰 특별 개체> 장난스런 사랑의 블랙 초코우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 장난기 많고 열정적인 성격을 가졌습니다.,
026,뇌수 워터파컷,CHO 님 @yumyum11541,,cold,,뇌수를 맛 보여 주기 위해 탄생한 워터파컷입니다. 아무에게나 마음을 열지않는 혼자 있는걸 좋아하는 고독한 성격을 가졌습니다.,
027,소중한 마음의 바나나우유 워터파컷,익에 님 @SIAFE_EL,,hot,,<날개가 달린 특수 개체> 소중한 마음의 바나나우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 순수하고 진심을 다하는 성격을 가졌습니다.,
028,네온잉크 워터파컷,냥이모찌 님 @Nyangimochi,,cold,,<cold에 반대되는 성격을 가진 특수 개체> 네온잉크를 맛 보여 주기위해 탄생한 워터파컷입니다. 사람을 좋아하고 따뜻한 성격을 가졌습니다.,<디자인권 사용>
029,악마에게 저주받은 성수 워터파컷,라틴 님 @kiMrate2n,,cold,,악마에게 저주받은 성수를 맛 보여 주기 위해 탄생한 워터파컷입니다. 이기적인 성격을 가졌습니다.,
030,천사에게 축복받은 성수 워터파컷,아로니아 님 @MIMIMI_Aronia,,hot,,천사에게 축복받은 성수를 맛 보여 주기 위해 탄생한 워터파컷입니다. 남을 위할줄 아는 성격을 가졌습니다.,
031,흑임자 라떼 워터파컷,귤공방 님 @gyul_jelly_CR,,cold,,흑임자 라떼를 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하고 차분한 성격을 가졌습니다.,
032,오래 방치해두어 솜털먼지가 섞인 물 워터파컷,플랜/ HADI 님 @peullaen8,,hot,,<보통 개체 보다 몸집이 작은 특별 개체> 오래 방치해두어 솜털먼지가 섞인 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 맹하고 온순한 성격을 가졌습니다.,<디자인권 사용>
033,황천수 워터파컷,냥콩 님 @디코,,cold,,<3개의 머리를 가진 특수 개체> 황천수를 맛 보여 주기 위해 탄생한 워터파컷입니다. 날카로운 성격을 가졌습니다.,<디자인권 사용>
034,나비가 한모금 마시고간 적장미꽃차 워터파컷,홍삼 님 @hongsam_js,,hot,,나비가 한모금 마시고간 적장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 좋아하는 것을 열정적으로 사랑하는 성격을 가졌습니다.,
035,나비가 한모금 마시고간 벽장미꽃차 워터파컷,티스 님 @xltm634,,hot,,나비가 한모금 마시고간 벽장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 희망을 믿고 포기하지 않는 강인한 성격을 가졌습니다.,
036,나비가 한모금 마시고간 황장미꽃차 워터파컷,조이작가 님 @joylee_12310,,hot,,나비가 한모금 마시고간 황장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다른이와의 우정을 소중히하는 친절한 성격을 가졌습니다.,
037,나비가 한모금 마시고간 자장미꽃차 워터파컷,종구 님 @lal53148913,,hot,,나비가 한모금 마시고간 자장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 한번 좋아하는 것은 바뀌지 않는 일편단심에 다정한 성격을 가졌습니다.,
038,나비가 한모금 마시고간 백장미꽃차 워터파컷,늄뉴비 님 @Newbie_SiA,,hot,,"나비가 한모금 마시고간 백장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다른이를 존경하며, 존경하는 만큼 배려하는 성격을 가졌습니다.",
039,나비가 한모금 마시고간 흑장미꽃차 워터파컷,한 샙 님 @Han_dawn0627,,hot,,나비가 한모금 마시고간 흑장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 자신이 사랑하는 것을 아끼며 소중히하는 성격을 가졌습니다.,
040,밤바다 물 워터파컷,안초 님 @kimancho930,,cold,,밤바다 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하며 외로움을 많이 타는 성격을 가졌습니다.,
041,강아지가 한입 마시고간 깨끗한 물 워터파컷,늄뉴비 님 @Newbie_SiA,,hot,,강아지가 한입 마시고간 깨끗한 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 에너지 넘치는 성격을 가졌습니다.,
042,아이돌이 한입 마신 복숭아 물 워터파컷,푸른 꿈 님 @BlueDream_Ate_,,hot,,아이돌이 한입 마신 복숭아 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 열정적이고 언제나 최선을 다하는 성격을 가졌습니다.,
043,벚꽃차 워터파컷,셰리 님 @mel_lang__,,hot,,벚꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 온순한 성격을 가졌습니다.,<디자인권 사용>
044,녹은 상어 아이스크림 워터파컷,뭉멍라떼 님 @mung_latte,,hot,,<볼의 물주머니가 없는 특별 개체> 녹은 상어 아이스크림을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 유쾌한 성격을 가졌습니다.,
045,혈액 워터파컷,꽁1 님 @9ong12,,cold,,혈액을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 신중하고 성격을 가졌습니다.,
046,성수 워터파컷,! 님 @susanghao,,cold,,"성수를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 이성적이며, 자신이 믿음을 의심하지 않는 성격을 가졌습니다.",<디자인권 사용>
047,붉은 구미호의 수제 주 워터파컷,리버 님 @clover09123,,hot,,"<꼬리 물주머니가 9개 있는 특수 개체> 자매인 구미호들이 만든 술중, 붉은 구미호가 만든 수제 주를 맛 보여 주기 위해 탄생한 워터파컷입니다. 열정적이며 화끈한 성격을 가졌습니다. 꼬리마다 술의 숙성도가 다릅니다.",
048,푸른 구미호의 수제 주 워터파컷,햇쌀밥 님 @hunted_sunrice,,cold,,"<꼬리 물주머니가 9개 있는 특수 개체> 자매인 구미호들이 만든 술중, 푸른 구미호가 만든 수제 주를 맛 보여 주기 위해 탄생한 워터파컷입니다. 신중하며 차분한 성격을 가졌습니다. 꼬리마다 술의 숙성도가 다릅니다.",
049,아무것도 없는 검은 토끼 워터파컷,Dreamnight 님 @Dreamnight0808,,hot & cold,,<'물'을 가지고 있지 않은 ??? 개체> 그 어떤 '물'도 가지고 있지 않는 거짓말 같은 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 만우절에 탄생한 이 워터파컷은 정말 거짓말 같습니다.,
050,어린왕자가 본 별을 담은 장미꽃 차 워터파컷,디떱 님 @Di_ddub,,cold,,<cold와 반대되는 성격을 가진 특수 개체> 어린왕자가 본 별을 담은 장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 호기심 많고 따뜻한 성격을 가졌습니다.,
051,어린왕자의 단 하나뿐인 장미꽃 향기를 담은 차 워터파컷,디떱 님 @Di_ddub,,hot,,<꼬리의 물 주머니가 큰 특별 개체> 어린왕자의 단 하나뿐인 장미꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하지만 남을 생각하는 따뜻한 성격을 가졌습니다.,
052,탄산 포도주스 워터파컷,쮜즐 님 @Chwi_zLE,,cold,,탄산 포도주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 침착하고 새침한 성격을 가졌습니다.,
053,고래 낙서를 하며 마신 우유 워터파컷,플랜/ HADI 님 @peullaen8,,cold,,고래 낙서를 하며 마신 우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하고 낯가리는 성격을 가졌습니다.,
054,목소리에 홀린자들의 피 워터파컷,유설화 님 @Yoo_smow_flower,,cold,,목소리에 홀린자들의 피를 맛 보여 주기 위해 탄생한 워터파컷입니다. 신중한 성격을 가졌습니다.,
055,건너면 안될 강의 물 워터파컷,조이작가 님 @joylee_12310,,hot,,<hot와 반대되는 성격을 가진 특수 개체> 건너면 안될 강의 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하며 냉정한 성격을 가졌습니다.,
056,도령이 벚나무 아래서 몰래 마신 식혜 워터파컷,꽁1 님 @9ong12,,hot,,<꼬리 물주머니가 작은 특별 개체> 도령이 벚나무 아래서 몰래 마신 식혜를 맛 보여 주기 위해 탄생한 워터파컷입니다. 부끄럼 많고 친절한 성격을 가졌습니다.,
057,아씨가 벚나무 아래서 몰래 마신 식혜 워터파컷,디떱 님 @Di_ddub,,hot,,<꼬리 물주머니가 작은 특별 개체> 아씨가 벚나무 아래서 몰래 마신 식혜를 맛 보여 주기 위해 탄생한 워터파컷입니다. 부끄럼 많고 다정한 성격을 가졌습니다.,
058,부활을 축복하며 마신 물 워터파컷,달슈 님 @i_hate_the_test,,hot,,부활을 축복하며 마신 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하며 모성애가 강한 성격을 가졌습니다.,
059,따뜻한 매화잎차 워터파컷,한 샙 님 @Han_dawn0627,,Hot,,<hot와 반대되는 성격을 가진 특수 개체> 따뜻한 매화잎차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분한 성격을 가졌습니다.,<디자인권 사용>
060,일본도깨비가 홀짝마신 벚꽃잎이 들어간 홍차 워터파컷,조이작가 님 @joylee_12310,,hot,,<보통 개체 보다 몸집이 큰 특별 개체> 일본도깨비가 홀짝마신 벚꽃잎이 들어간 홍차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 활발하며 따듯하게 감싸는걸 좋아하는 성격을 가졌습니다.,<디자인권 사용>
061,해파리와 나비가 만안 찰나의 순간의 바닷물 워터파컷,안초 님 @kimancho930,,hot,,해파리와 나비가 만안 찰나의 순간의 바닷물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 느긋하고 너그러운 성격을 가졌습니다.,
062,복을 부르는 삼색뚱냥이가 마신 차 워터파컷,SIGE 님 @sige1364,,hot,,<살찐 외형을 가진 특수 개체> 복을 부르는 삼색뚱냥이가 마신 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 친절하고 포근한 성격을 가졌습니다.,
063,검은 요괴 고양이가 마신 차 워터파컷,CHO 님 @yumyum11541,,cold,,<꼬리 물주머니가 2개 있는 특수 개체> 검은 요괴 고양이가 마신 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 소심하고 조심스러운 성격을 가졌습니다.,
064,노란 요괴 고양이가 마신 차 워터파컷,백장 님 @cheddar_UU,,hot,,<꼬리 물주머니가 2개 있는 특수 개체> 노란 요괴 고양이가 마신 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 활기찬 성격을 가졌습니다.,
065,그림자를 머금은 자두 물 워터파컷,푸른 꿈 님 @BlueDream_Ate_,,Cold,,그림자를 머금은 자두 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 주변에 무심하며 고요한 성격입니다.,<디자인권 사용>
066,부서진 시계 앞에서 마신 차 워터파컷,안초 님 @kimancho930,,cold,,부서진 시계 앞에서 마신 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 의욕없고 조용한 성격을 가졌습니다.,
067,그믐달과 보름달이 뜰때만 마신 차 워터파컷,포포 님 @popo_cre,,hot,,그믐달과 보름달이 뜰때만 마신 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 느긋하며 친절한 성격을 가졌습니다.,
068,거미와 함께 만든 머핀의 핑크 크림 워터파컷,폐사 님 @Non_Humanand,,hot,,거미와 함께 만든 머핀의 핑크 크림을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 겁없는 성격을 가졌습니다.,
069,꽃향기 양초 물 워터파컷,김달서 님 @kimmaeong,,hot,,꽃향기 양초 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 친절한 성격을 가졌습니다.,
070,녹은 바닐라초코 아이스크림 워터파컷,광우바 님 @Gwang_Uba,,hot,,녹은 바닐라초코 아이스크림을 맛 보여 주기 위해 탄생한 워터파컷입니다. 친절하고 느긋한 성격을 가졌습니다.,
071,에스프레소 워터파컷,김달서 님 @kimmaeong,,hot,,에스프레소를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 따뜻한 성격을 가졌습니다.,
072,녹차 워터파컷,스즈키 히노 님 @HINO1230_b,,cold,,녹차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하며 피곤해하는 성격을 가졌습니다.,<디자인권 사용>
073,별이 들어간 에너지 음료 워터파컷,조이작가 님 @joylee_12310,,cold,,별이 들어간 에너지 음료를 맛 보여 주기 위해 탄생한 워터파컷입니다. 진지하고 조금은 딱딱한 성격을 가졌습니다.,
074,노랑깃털을 담은 물 워터파컷,슈가 님 @_suga_0503,,Hot,,노랑깃털을 담은 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 다정한 성격을 가졌습니다.,<디자인권 사용>
075,바텐더가 마신 위스키 워터파컷,위스키 님 @keonhyu3,,cold,,바텐더가 마신 위스키를 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하고 무뚝뚝한 성격을 가졌습니다.,<디자인권 사용>
076,청의 뱀과 여우가 마신 맑은 물 워터파컷,짭짭이 님 @Jjapjjap_owo,,cold,,청의 뱀과 여우가 마신 맑은 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 침착한 성격을 가졌습니다.,
077,녹의 뱀과 여우가 마신 맑은 물 워터파컷,짭짭이 님 @Jjapjjap_owo,,cold,,녹의 뱀과 여우가 마신 맑은 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 얌전한 성격을 가졌습니다.,
078,피안화차 워터파컷,금소 님 @geumso_03,,Cold,,"피안화차를 맛 보여주기 위해 탄생한 워터파컷입니다. 차갑고 어두운, 우울한 성격을 가졌습니다.",<디자인권 사용>
079,흘러가는 시간의 찰나에 마신 물 워터파컷,안초 님 @kimancho930,,hot,,흘러가는 시간의 찰나에 마신 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 활발하고 용감한 성격을 가졌습니다.,<디자인권 사용>
080,마카롱과 같이 마신 우유 워터파컷,슈가 님 @_suga_0503,,cold,,마카롱과 같이 마신 우유를 맛 보여 주기 위해 탄생한 워터파컷입니다. 소심하고 겁많은 성격을 가졌습니다.,
081,갤럭시 레몬 에이드 워터파컷,강무 님 @_rkdan_,,Cold,,갤럭시 레몬 에이드를 맛 보여주기 위해 탄생한 워터파컷입니다. 냉정한 성격을 가졌습니다.,<디자인권 사용>
082,활력수 워터파컷,안초 님 @kimancho930,,hot,,<날개가 달린 특수 개체> 활력수를 맛 보여 주기 위해 탄생한 워터파컷입니다. 너그럽고 친절한 성격을 가졌습니다.,
083,튤립반 아이의 음료 워터파컷,셰리 님 @su_hwa__,,hot,,<보통 개체 보다 몸집이 작은 특별 개체> 튤립반 아이의 음료를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정한 성격을 가졌습니다.,
084,병아리반 아이의 음료 워터파컷,광우바 님 @Gwang_Uba,,cold,,병아리반 아이의 음료를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분한 성격을 가졌습니다.,
085,아침에 마신 물 워터파컷,안초 님 @kimancho930,,hot,,아침에 마신 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 쾌활하고 용감한 성격을 가졌습니다.,<디자인권 사용>
086,밤에 마신 물 워터파컷,안초 님 @kimancho930,,cold,,밤에 마신 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 겁이 많은 성격을 가졌습니다.,<디자인권 사용>
087,유자차 워터파컷,뭎돨 님 @daytime0924,,hot,,<꼬리의 물 주머니가 큰 특별 개체> 유자차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 느긋한 성격을 가졌습니다.,
088,노을 질 무렵 망고 스무디 워터파컷,쿠도쿠로 님 @KudoKuro1468,,cold,,<날개가 달린 특수 개체> 노을 질 무렵 망고 스무디를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분한 성격을 가졌습니다.,
089,해 뜰 무렵 블루베리 스무디 워터파컷,플레이트 님 @plate0424,,cold,,<날개가 달린 특수 개체> 해 뜰 무렵 블루베리 스무디를 맛 보여 주기 위해 탄생한 워터파컷입니다. 침착한 성격을 가졌습니다.,
090,북극여우를 보며 마신 차 워터파컷,강무 님 @_rkdan_,,hot,,<보통 개체 보다 몸집이 작은 특별 개체> 북극여우를 보며 마신 차를 맛 보여주기 위해 탄생한 워터파컷입니다. 너그럽고 나른한 성격을 가졌습니다.,<디자인권 사용>
091,구름 같은 솜사탕과 함께 마신 라무네 워터파컷,SORA 님 @SORA10187,,cold,,구름 같은 솜사탕과 함께 마신 라무네를 맛 보여 주기 위해 탄생한 워터파컷입니다. 걱정많고 겁많은 성격을 가졌습니다.,
092,노래하며 마신 커피 워터파컷,XODD 님 @XODDM,,cold,,노래하며 마신 커피를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분한 성격을 가졌습니다.,
093,생일주 워터파컷,Fe브Ri즈 님 @FebR1z,,hot & cold,,<'물'의 도수를 조절이 가능한 ??? 개체> 생일주를 맛 보여 주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 생일인 사람에게 알맞는 도수의 주를 주는 워터파컷 입니다.,
094,황금 꽃 생일주 워터파컷,언쿠,,hot & cold,,<'물'의 도수를 조절이 가능한 ??? 개체> 황금 꽃 생일주를 맛 보여 주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 생일인 사람에게 알맞는 도수의 주를 주는 워터파컷 입니다.,
095,초코맛 단백질 쉐이크 워터파컷,이상어님 @ms1sharklee,,hot,,<근육질 외형을 가진 특수 개체> 초코맛 단백질 쉐이크를 맛보여주기 위해 탄생한 워터파컷입니다. 운동을 열정적으로 하는 열혈파커 성격을 가졌습니다.,<디자인권 사용>
096,모자장수의 홍차 워터파컷,이름은 비워둘 수 없습니다 님 @orcinus_iruka_,,hot,,모자장수의 홍차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 엉뚱한 성격을 가졌습니다.,
097,청사과 과즙 워터파컷,미어 님 @moil_32,,hot,,청사과 과즙을 맛 보여 주기 위해 탄생한 워터파컷입니다. 활발한 성격을 가졌습니다. 아름다운 사과나무 아래 다른'종족'과 함께 태어난 워터파컷 입니다. 그 '종족'과 마치 가족과도 같은 모습을 보입니다.,<강무 님 DA>
098,죽순과 함께 마시는 석죽차 워터파컷,말랑한판다 님 @i_o3o_l,,hot,,죽순과 함께 마시는 석죽차를 맛보여주기 위해 탄생한 워터파컷 입니다. 따뜻한 성격을 가졌습니다.,<디자인권 사용>
099,검은 대나무 수액 워터파컷,강무 님 @_rkdan_,,hot,,검은 대나무 수액을 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 느긋한 성격을 가졌습니다. 울창하고 푸르른 대나무숲에서 홀로 검게 빛나는 검은 대나무에서 태어났습니다. 다른'종족'과 함께 태어난 워터파컷 입니다. 가족과 같은 그 '종족'을 의지해 보이는 편 입니다.,
100,100번째 파티 주스 워터파컷,하루 님 @yuharu11615,,hot & cold,,<'물'의 맛을 바꾸는 게 가능한 ??? 개체> 100번째 파티 주스를 맛 보여 주기 위해 탄생한 워터파컷입니다. 성격 또한 hot과 cold가 공존하는 듯 합니다. 여러가지 과일주스 맛을 맛 보여 줄수 있는 워터파컷 입니다.,
101,호접몽을 꾸며 마신 제비꽃차 워터파컷,안초 님 @kimancho930,,hot,,호접몽을 꾸며 마신 제비꽃차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 온화하고 친절한 성격을 가졌습니다.,<디자인권 사용>
102,겨울의 서리 물 워터파컷,469 님 @469fsn,,cold,,겨울의 서리 물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 외로움을 많이타며 잘 놀라는 성격을 가졌습니다.,<디자인권 사용>
103,장난스런 상어가 마신 바닷물 워터파컷,예니 님 @yell_oiye,,cold,,<cold와 반대되는 성격을 가진 특수 개체> 장난스런 상어가 마신 바닷물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 장난을 좋아하며 활발하고 매일 신나하는 성격을 가졌습니다.,<디자인권 사용>
104,깊은 숲속의 밤 호수를 보며 마신 페퍼민트 차 워터파컷,숲 님 @_forest_64_,,cold,,<꼬리의 물 주머니가 큰 특별 개체> 깊은 숲속의 밤 호수를 보며 마신 페퍼민트 차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 조용하며 잔잔하고 차분한 성격을 가졌습니다.,
105,캐모마일차 워터파컷,가슴야호 님 @D_YAHOna101,,cold,,<보통 개체 보다 몸집이 작은 특별 개체> 캐모마일차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 새침하고 조용한 성격을 가졌습니다.,
106,허브차 워터파컷,햇쌀밥 님 @hunted_sunrice,,hot,,<보통 개체 보다 몸집이 작은 특별 개체> 허브차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 다정하고 나긋한 성격을 가졌습니다.,
107,고래가 마신 콜라 워터파컷,CHO 님 @yumyum11541,,hot,,고래가 마신 콜라를 맛 보여 주기 위해 탄생한 워터파컷입니다. 느릇하고 친절한 성격을 가졌습니다. 다른'종족'과 함께 태어난 워터파컷 입니다. 그 '종족'과 언제나 함께하는 모습을 보입니다.,
108,고래가 마신 사이다 워터파컷,SIGE 님 @sige1364,,hot,,고래가 마신 사이다를 맛 보여 주기 위해 탄생한 워터파컷입니다. 밝고 활발한 성격을 가졌습니다. 다른'종족'과 함께 태어난 워터파컷 입니다. 그 '종족'과 언제나 함께하는 모습을 보입니다.,<당개 님 DA>
109,어린 해파리가 사는 바닷물 워터파컷,안초 님 @kimancho930,,hot,,어린 해파리가 사는 바닷물을 맛 보여 주기 위해 탄생한 워터파컷입니다. 호기심 많고 다정한 성격을 가졌습니다.,
110,지구의 물 워터파컷,꾸꾸 님 @owu_1215,,cold,,"지구의 물을 맛 보여주기 위해 탄생한 워터파컷입니다. 무뚝뚝하며, 헛된 기대와 희망은 가지지 않는 성격입니다.",<디자인권 사용>
111,버터플라이피차 워터파컷,조이작가 님 @joylee_12310,,cold,,<보통 개체 보다 몸집이 큰 특별 개체> 버터플라이피차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 차분하고 단호한 성격을 가졌습니다.,
112,홍차 워터파컷,안초 님 @kimancho930,,hot,,<보통 개체 보다 몸집이 큰 특별 개체> 홍차를 맛 보여 주기 위해 탄생한 워터파컷입니다. 의욕이 많고 명랑한 성격을 가졌습니다.,
